Pais;Expectativa_Vida;Continente;STD_Continente;Media_Continente;Modelo com 3
Monaco;87;Europe;3.481085920179709;80.62;2
San Marino;86;Europe;3.481085920179709;80.62;2
Hong Kong;86;Asia;5.226703681341535;76.03921568627452;1
Japan;85;Asia;5.226703681341535;76.03921568627452;1
Republic of Korea;85;Asia;5.226703681341535;76.03921568627452;1
Saint Barthélemy;85;North America;4.2097447926818825;76.6829268292683;2
Andorra;84;Europe;3.481085920179709;80.62;2
French Polynesia;84;Oceania;6.1765846248925005;73.17391304347827;1
Switzerland;84;Europe;3.481085920179709;80.62;2
Australia;84;Oceania;6.1765846248925005;73.17391304347827;1
Italy;84;Europe;3.481085920179709;80.62;2
Singapore;84;Asia;5.226703681341535;76.03921568627452;1
Spain;84;Europe;3.481085920179709;80.62;2
Liechtenstein;84;Europe;3.481085920179709;80.62;2
Réunion;84;Africa;5.956080433630963;66.58620689655173;1
Gibraltar;84;Europe;3.481085920179709;80.62;2
Malta;84;Europe;3.481085920179709;80.62;2
Norway;84;Europe;3.481085920179709;80.62;2
France;84;Europe;3.481085920179709;80.62;2
Sweden;84;Europe;3.481085920179709;80.62;2
Guernsey;84;Europe;3.481085920179709;80.62;2
Macao;83;Asia;5.226703681341535;76.03921568627452;1
Holy See;83;Europe;3.481085920179709;80.62;2
United Arab Emirates;83;Asia;5.226703681341535;76.03921568627452;1
Iceland;83;Europe;3.481085920179709;80.62;2
Martinique;83;North America;4.2097447926818825;76.6829268292683;2
Canada;83;North America;4.2097447926818825;76.6829268292683;2
Israel;83;Asia;5.226703681341535;76.03921568627452;1
Ireland;83;Europe;3.481085920179709;80.62;2
Portugal;83;Europe;3.481085920179709;80.62;2
Qatar;83;Asia;5.226703681341535;76.03921568627452;1
Bermuda;83;North America;4.2097447926818825;76.6829268292683;2
Luxembourg;82;Europe;3.481085920179709;80.62;2
Netherlands;82;Europe;3.481085920179709;80.62;2
Belgium;82;Europe;3.481085920179709;80.62;2
Guadeloupe;82;North America;4.2097447926818825;76.6829268292683;2
New Zealand;82;Oceania;6.1765846248925005;73.17391304347827;1
Austria;82;Europe;3.481085920179709;80.62;2
Denmark;82;Europe;3.481085920179709;80.62;2
Finland;82;Europe;3.481085920179709;80.62;2
Greece;82;Europe;3.481085920179709;80.62;2
Puerto Rico;82;North America;4.2097447926818825;76.6829268292683;2
Cyprus;82;Asia;5.226703681341535;76.03921568627452;1
Slovenia;82;Europe;3.481085920179709;80.62;2
Germany;82;Europe;3.481085920179709;80.62;2
United Kingdom;82;Europe;3.481085920179709;80.62;2
Bahrain;82;Asia;5.226703681341535;76.03921568627452;1
Chile;82;South America;3.6682480772221404;76.07142857142857;2
Maldives;82;Asia;5.226703681341535;76.03921568627452;1
Isle of Man;81;Europe;3.481085920179709;80.62;2
Costa Rica;81;North America;4.2097447926818825;76.6829268292683;2
Taiwan;81;Asia;5.226703681341535;76.03921568627452;1
Kuwait;81;Asia;5.226703681341535;76.03921568627452;1
Cayman Islands;81;North America;4.2097447926818825;76.6829268292683;2
Saint Martin (French part);81;North America;4.2097447926818825;76.6829268292683;2
Faroe Islands;81;Europe;3.481085920179709;80.62;2
Oman;80;Asia;5.226703681341535;76.03921568627452;1
Czechia;80;Europe;3.481085920179709;80.62;2
Jersey;80;Europe;3.481085920179709;80.62;2
Panama;80;North America;4.2097447926818825;76.6829268292683;2
Albania;80;Europe;3.481085920179709;80.62;2
Anguilla;80;North America;4.2097447926818825;76.6829268292683;2
United States of America;80;North America;4.2097447926818825;76.6829268292683;2
Falkland Islands (Malvinas);80;South America;3.6682480772221404;76.07142857142857;2
Estonia;79;Europe;3.481085920179709;80.62;2
Saudi Arabia;79;Asia;5.226703681341535;76.03921568627452;1
Northern Mariana Islands;79;Oceania;6.1765846248925005;73.17391304347827;1
New Caledonia;79;Oceania;6.1765846248925005;73.17391304347827;1
Poland;79;Europe;3.481085920179709;80.62;2
Croatia;79;Europe;3.481085920179709;80.62;2
Wallis and Futuna Islands;79;Oceania;6.1765846248925005;73.17391304347827;1
Slovakia;79;Europe;3.481085920179709;80.62;2
Uruguay;78;South America;3.6682480772221404;76.07142857142857;2
Cuba;78;North America;4.2097447926818825;76.6829268292683;2
Kosovo;78;Europe;3.481085920179709;80.62;2
China;78;Asia;5.226703681341535;76.03921568627452;1
Turks and Caicos Islands;78;North America;4.2097447926818825;76.6829268292683;2
Bosnia and Herzegovina;78;Europe;3.481085920179709;80.62;2
Jordan;78;Asia;5.226703681341535;76.03921568627452;1
Peru;78;South America;3.6682480772221404;76.07142857142857;2
Colombia;78;South America;3.6682480772221404;76.07142857142857;2
Lebanon;78;Asia;5.226703681341535;76.03921568627452;1
Iran;78;Asia;5.226703681341535;76.03921568627452;1
Antigua and Barbuda;78;North America;4.2097447926818825;76.6829268292683;2
Sri Lanka;78;Asia;5.226703681341535;76.03921568627452;1
Türkiye;78;Asia;5.226703681341535;76.03921568627452;1
Bonaire, Sint Eustatius and Saba;78;North America;4.2097447926818825;76.6829268292683;2
Ecuador;78;South America;3.6682480772221404;76.07142857142857;2
Argentina;78;South America;3.6682480772221404;76.07142857142857;2
North Macedonia;78;Europe;3.481085920179709;80.62;2
Guam;78;Oceania;6.1765846248925005;73.17391304347827;1
British Virgin Islands;78;North America;4.2097447926818825;76.6829268292683;2
Montenegro;77;Europe;3.481085920179709;80.62;2
French Guiana;77;South America;3.6682480772221404;76.07142857142857;2
Hungary;77;Europe;3.481085920179709;80.62;2
Tokelau;77;Oceania;6.1765846248925005;73.17391304347827;1
Curaçao;77;North America;4.2097447926818825;76.6829268292683;2
Serbia;77;Europe;3.481085920179709;80.62;2
Saint Helena;77;Africa;5.956080433630963;66.58620689655173;3
Saint Pierre and Miquelon;77;North America;4.2097447926818825;76.6829268292683;2
Malaysia;77;Asia;5.226703681341535;76.03921568627452;1
Tunisia;77;Africa;5.956080433630963;66.58620689655173;3
Thailand;77;Asia;5.226703681341535;76.03921568627452;1
Sint Maarten;77;North America;4.2097447926818825;76.6829268292683;2
Algeria;77;Africa;5.956080433630963;66.58620689655173;3
Aruba;77;North America;4.2097447926818825;76.6829268292683;2
Barbados;76;North America;4.2097447926818825;76.6829268292683;2
Montserrat;76;North America;4.2097447926818825;76.6829268292683;2
Latvia;76;Europe;3.481085920179709;80.62;2
Mayotte;76;Africa;5.956080433630963;66.58620689655173;3
Cabo Verde;76;Africa;5.956080433630963;66.58620689655173;3
Lithuania;76;Europe;3.481085920179709;80.62;2
Romania;76;Europe;3.481085920179709;80.62;2
Brazil;76;South America;3.6682480772221404;76.07142857142857;2
Armenia;76;Asia;5.226703681341535;76.03921568627452;1
Bulgaria;76;Europe;3.481085920179709;80.62;2
United States Virgin Islands;76;North America;4.2097447926818825;76.6829268292683;2
Morocco;76;Africa;5.956080433630963;66.58620689655173;3
Brunei Darussalam;76;Asia;5.226703681341535;76.03921568627452;1
Cook Islands;76;Oceania;6.1765846248925005;73.17391304347827;1
Grenada;76;North America;4.2097447926818825;76.6829268292683;2
Mexico;75;North America;4.2097447926818825;76.6829268292683;2
Mauritius;75;Africa;5.956080433630963;66.58620689655173;3
Nicaragua;75;North America;4.2097447926818825;76.6829268292683;2
Bangladesh;75;Asia;5.226703681341535;76.03921568627452;1
Viet Nam;75;Asia;5.226703681341535;76.03921568627452;1
Ukraine;75;Europe;3.481085920179709;80.62;2
Bahamas;75;North America;4.2097447926818825;76.6829268292683;2
Georgia;75;Asia;5.226703681341535;76.03921568627452;1
Belarus;75;Europe;3.481085920179709;80.62;2
Azerbaijan;75;Asia;5.226703681341535;76.03921568627452;1
Kazakhstan;75;Asia;5.226703681341535;76.03921568627452;1
Paraguay;74;South America;3.6682480772221404;76.07142857142857;2
Dominican Republic;74;North America;4.2097447926818825;76.6829268292683;2
Belize;74;North America;4.2097447926818825;76.6829268292683;2
Suriname;74;South America;3.6682480772221404;76.07142857142857;2
North Korea;74;Asia;5.226703681341535;76.03921568627452;1
Trinidad and Tobago;74;North America;4.2097447926818825;76.6829268292683;2
Bhutan;74;Asia;5.226703681341535;76.03921568627452;1
Russian Federation;74;Europe;3.481085920179709;80.62;2
Tonga;73;Oceania;6.1765846248925005;73.17391304347827;1
Honduras;73;North America;4.2097447926818825;76.6829268292683;2
Libya;73;Africa;5.956080433630963;66.58620689655173;3
Seychelles;73;Africa;5.956080433630963;66.58620689655173;3
American Samoa;73;Oceania;6.1765846248925005;73.17391304347827;1
Palestine;73;Asia;5.226703681341535;76.03921568627452;1
Saint Lucia;73;North America;4.2097447926818825;76.6829268292683;2
Syrian Arab Republic;73;Asia;5.226703681341535;76.03921568627452;1
Guatemala;73;North America;4.2097447926818825;76.6829268292683;2
Venezuela;73;South America;3.6682480772221404;76.07142857142857;2
Uzbekistan;73;Asia;5.226703681341535;76.03921568627452;1
Iraq;73;Asia;5.226703681341535;76.03921568627452;1
El Salvador;73;North America;4.2097447926818825;76.6829268292683;2
India;72;Asia;5.226703681341535;76.03921568627452;1
Saint Kitts and Nevis;72;North America;4.2097447926818825;76.6829268292683;2
Mongolia;72;Asia;5.226703681341535;76.03921568627452;1
Tajikistan;72;Asia;5.226703681341535;76.03921568627452;1
Egypt;72;Africa;5.956080433630963;66.58620689655173;3
Kyrgyzstan;72;Asia;5.226703681341535;76.03921568627452;1
Samoa;72;Oceania;6.1765846248925005;73.17391304347827;1
Vanuatu;72;Oceania;6.1765846248925005;73.17391304347827;1
Western Sahara;72;Africa;5.956080433630963;66.58620689655173;3
Jamaica;72;North America;4.2097447926818825;76.6829268292683;2
Saint Vincent and the Grenadines;72;North America;4.2097447926818825;76.6829268292683;2
Republic of Moldova;71;Europe;3.481085920179709;80.62;2
Dominica;71;North America;4.2097447926818825;76.6829268292683;2
Indonesia;71;Asia;5.226703681341535;76.03921568627452;1
Cambodia;71;Asia;5.226703681341535;76.03921568627452;1
Nepal;71;Asia;5.226703681341535;76.03921568627452;1
Solomon Islands;71;Oceania;6.1765846248925005;73.17391304347827;1
Guyana;70;South America;3.6682480772221404;76.07142857142857;2
Turkmenistan;70;Asia;5.226703681341535;76.03921568627452;1
Greenland;70;North America;4.2097447926818825;76.6829268292683;2
Niue;70;Oceania;6.1765846248925005;73.17391304347827;1
Sao Tome and Principe;70;Africa;5.956080433630963;66.58620689655173;3
Philippines;70;Asia;5.226703681341535;76.03921568627452;1
Yemen;70;Asia;5.226703681341535;76.03921568627452;1
Palau;69;Oceania;6.1765846248925005;73.17391304347827;1
Lao People's Democratic Republic;69;Asia;5.226703681341535;76.03921568627452;1
Botswana;69;Africa;5.956080433630963;66.58620689655173;3
Senegal;69;Africa;5.956080433630963;66.58620689655173;3
Eritrea;69;Africa;5.956080433630963;66.58620689655173;3
Mauritania;69;Africa;5.956080433630963;66.58620689655173;3
Bolivia;69;South America;3.6682480772221404;76.07142857142857;2
Uganda;69;Africa;5.956080433630963;66.58620689655173;3
Gabon;69;Africa;5.956080433630963;66.58620689655173;3
Rwanda;68;Africa;5.956080433630963;66.58620689655173;3
Timor-Leste;68;Asia;5.226703681341535;76.03921568627452;1
Pakistan;68;Asia;5.226703681341535;76.03921568627452;1
Ethiopia;68;Africa;5.956080433630963;66.58620689655173;3
Malawi;68;Africa;5.956080433630963;66.58620689655173;3
Namibia;68;Africa;5.956080433630963;66.58620689655173;3
Fiji;68;Oceania;6.1765846248925005;73.17391304347827;1
Micronesia;68;Oceania;6.1765846248925005;73.17391304347827;1
United Republic of Tanzania;67;Africa;5.956080433630963;66.58620689655173;3
Tuvalu;67;Oceania;6.1765846248925005;73.17391304347827;1
Myanmar;67;Asia;5.226703681341535;76.03921568627452;1
Comoros;67;Africa;5.956080433630963;66.58620689655173;3
Marshall Islands;67;Oceania;6.1765846248925005;73.17391304347827;1
Kiribati;67;Oceania;6.1765846248925005;73.17391304347827;1
Sudan;67;Africa;5.956080433630963;66.58620689655173;3
Zambia;67;Africa;5.956080433630963;66.58620689655173;3
Afghanistan;67;Asia;5.226703681341535;76.03921568627452;1
South Africa;66;Africa;5.956080433630963;66.58620689655173;3
Djibouti;66;Africa;5.956080433630963;66.58620689655173;3
Papua New Guinea;66;Oceania;6.1765846248925005;73.17391304347827;1
Gambia;66;Africa;5.956080433630963;66.58620689655173;3
Congo;66;Africa;5.956080433630963;66.58620689655173;3
Ghana;66;Africa;5.956080433630963;66.58620689655173;3
Haiti;65;North America;4.2097447926818825;76.6829268292683;2
Angola;65;Africa;5.956080433630963;66.58620689655173;3
Guinea-Bissau;64;Africa;5.956080433630963;66.58620689655173;3
Eswatini;64;Africa;5.956080433630963;66.58620689655173;3
Cameroon;64;Africa;5.956080433630963;66.58620689655173;3
Equatorial Guinea;64;Africa;5.956080433630963;66.58620689655173;3
Madagascar;64;Africa;5.956080433630963;66.58620689655173;3
Kenya;64;Africa;5.956080433630963;66.58620689655173;3
Burundi;64;Africa;5.956080433630963;66.58620689655173;3
Mozambique;64;Africa;5.956080433630963;66.58620689655173;3
Zimbabwe;63;Africa;5.956080433630963;66.58620689655173;3
Togo;63;Africa;5.956080433630963;66.58620689655173;3
Liberia;62;Africa;5.956080433630963;66.58620689655173;3
Nauru;62;Oceania;6.1765846248925005;73.17391304347827;3
Côte d'Ivoire;62;Africa;5.956080433630963;66.58620689655173;3
Democratic Republic of the Congo;62;Africa;5.956080433630963;66.58620689655173;3
Sierra Leone;62;Africa;5.956080433630963;66.58620689655173;3
Niger;62;Africa;5.956080433630963;66.58620689655173;3
Burkina Faso;61;Africa;5.956080433630963;66.58620689655173;3
Benin;61;Africa;5.956080433630963;66.58620689655173;3
Guinea;61;Africa;5.956080433630963;66.58620689655173;3
Mali;61;Africa;5.956080433630963;66.58620689655173;3
Somalia;59;Africa;5.956080433630963;66.58620689655173;3
Lesotho;58;Africa;5.956080433630963;66.58620689655173;3
Central African Republic;58;Africa;5.956080433630963;66.58620689655173;3
South Sudan;58;Africa;5.956080433630963;66.58620689655173;3
Chad;55;Africa;5.956080433630963;66.58620689655173;3
Nigeria;55;Africa;5.956080433630963;66.58620689655173;3
