id,country,expectancy,rounded_expectancy,continent
1,Monaco,86.6107,87,Europe
2,San Marino,85.9248,86,Europe
3,Hong Kong,85.7686,86,Asia
4,Japan,85.0012,85,Asia
5,Republic of Korea,84.5348,85,Asia
6,Saint Barthélemy,84.5153,85,North America
7,Andorra,84.3305,84,Europe
8,French Polynesia,84.3117,84,Oceania
9,Switzerland,84.2293,84,Europe
10,Australia,84.2135,84,Oceania
11,Italy,84.0285,84,Europe
12,Singapore,83.9981,84,Asia
13,Spain,83.9598,84,Europe
14,Liechtenstein,83.928,84,Europe
15,Réunion,83.8039,84,Africa
16,Gibraltar,83.7773,84,Europe
17,Malta,83.6277,84,Europe
18,Norway,83.6072,84,Europe
19,France,83.5804,84,Europe
20,Sweden,83.5764,84,Europe
21,Guernsey,83.5139,84,Europe
22,Macao,83.4152,83,Asia
23,Holy See,83.2871,83,Europe
24,United Arab Emirates,83.235,83,Asia
25,Iceland,83.1526,83,Europe
26,Martinique,82.8924,83,North America
27,Canada,82.8834,83,North America
28,Israel,82.7736,83,Asia
29,Ireland,82.7453,83,Europe
30,Portugal,82.7165,83,Europe
31,Qatar,82.6797,83,Asia
32,Bermuda,82.6624,83,North America
33,Luxembourg,82.4941,82,Europe
34,Netherlands,82.4485,82,Europe
35,Belgium,82.4323,82,Europe
36,Guadeloupe,82.403,82,North America
37,New Zealand,82.3882,82,Oceania
38,Austria,82.2911,82,Europe
39,Denmark,82.2452,82,Europe
40,Finland,82.2437,82,Europe
41,Greece,82.2247,82,Europe
42,Puerto Rico,82.0843,82,North America
43,Cyprus,81.9911,82,Asia
44,Slovenia,81.9359,82,Europe
45,Germany,81.707,82,Europe
46,United Kingdom,81.5995,82,Europe
47,Bahrain,81.5792,82,Asia
48,Chile,81.5386,82,South America
49,Maldives,81.5081,82,Asia
50,Isle of Man,81.2226,81,Europe
51,Costa Rica,81.1907,81,North America
52,Taiwan,80.9415,81,Asia
53,Kuwait,80.7791,81,Asia
54,Cayman Islands,80.7174,81,North America
55,Saint Martin (French part),80.6457,81,North America
56,Faroe Islands,80.6002,81,Europe
57,Oman,80.4512,80,Asia
58,Czechia,80.1069,80,Europe
59,Jersey,79.9865,80,Europe
60,Panama,79.9571,80,North America
61,Albania,79.9533,80,Europe
62,Anguilla,79.6697,80,North America
63,United States of America,79.6135,80,North America
64,Falkland Islands (Malvinas),79.5874,80,South America
65,Estonia,79.4762,79,Europe
66,Saudi Arabia,79.1953,79,Asia
67,Northern Mariana Islands,79.0881,79,Oceania
68,New Caledonia,79.068,79,Oceania
69,Poland,78.9807,79,Europe
70,Croatia,78.9154,79,Europe
71,Wallis and Futuna Islands,78.8974,79,Oceania
72,Slovakia,78.654,79,Europe
73,Uruguay,78.4541,78,South America
74,Cuba,78.4474,78,North America
75,Kosovo,78.4216,78,Europe
76,China,78.3723,78,Asia
77,Turks and Caicos Islands,78.339,78,North America
